Timestamp:2024-05-21 12:20:31.402750, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:31.428818, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:31.428953, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:31.452786, Process CommandController Not Running
Timestamp:2024-05-21 12:20:31.452920, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:20:36.524191, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:36.524326, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:36.548604, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:36.548739, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:36.573092, Process CommandController Not Running
Timestamp:2024-05-21 12:20:36.573242, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:20:41.603756, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:41.603892, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:41.624479, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:41.624614, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:41.643905, Process CommandController Not Running
Timestamp:2024-05-21 12:20:41.644092, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:20:46.674378, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:46.674513, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:46.698919, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:46.699102, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:46.729954, Process CommandController Not Running
Timestamp:2024-05-21 12:20:46.730143, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:20:51.762702, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:51.762771, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:51.788915, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:51.789140, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:51.819950, Process CommandController Not Running
Timestamp:2024-05-21 12:20:51.820135, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:20:56.845636, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:56.845772, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:56.869307, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:20:56.869439, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:20:56.899508, Process CommandController Not Running
Timestamp:2024-05-21 12:20:56.899557, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:01.924375, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:01.924511, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:01.948970, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:01.949128, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:01.980023, Process CommandController Not Running
Timestamp:2024-05-21 12:21:01.980168, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:07.749266, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:07.749451, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:07.780521, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:07.780665, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:07.809931, Process CommandController Not Running
Timestamp:2024-05-21 12:21:07.810114, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:07.840709, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:07.840842, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:21:12.865071, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:12.865203, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:12.886184, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:12.886255, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:12.912747, Process CommandController Not Running
Timestamp:2024-05-21 12:21:12.912881, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:12.935176, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:12.935259, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:21:17.963825, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:17.963879, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:17.985453, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:17.985586, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:18.004852, Process CommandController Not Running
Timestamp:2024-05-21 12:21:18.005054, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:18.031895, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:18.032047, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:21:23.077163, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:23.077295, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:23.095288, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:23.095423, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:23.122118, Process CommandController Not Running
Timestamp:2024-05-21 12:21:23.122403, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:23.147334, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:23.147442, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:21:28.180848, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:28.181000, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:28.208475, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:28.208610, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:28.233872, Process CommandController Not Running
Timestamp:2024-05-21 12:21:28.234012, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:28.254475, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:28.254609, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:21:33.284328, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:33.284461, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:33.307082, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:21:33.307132, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:21:33.330512, Process CommandController Not Running
Timestamp:2024-05-21 12:21:33.330646, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:21:33.361160, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:21:33.361289, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:22:19.069855, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:19.070071, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:19.100331, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:19.100476, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:19.131367, Process CommandController Not Running
Timestamp:2024-05-21 12:22:19.131501, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:22:19.158775, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:22:19.158827, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:22:23.563592, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:23.563787, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:23.591340, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:23.591479, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:23.618886, Process CommandController Not Running
Timestamp:2024-05-21 12:22:23.619070, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:22:23.649729, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:22:23.649865, Process processmonitor.sh started by Process Monitor Module
Timestamp:2024-05-21 12:22:24.184394, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:24.184528, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:24.209094, Process CommunicationModule Not Running
Timestamp:2024-05-21 12:22:24.209232, Process CommunicationModule started by Process Monitor Module
Timestamp:2024-05-21 12:22:24.240090, Process CommandController Not Running
Timestamp:2024-05-21 12:22:24.240232, Process CommandController started by Process Monitor Module
Timestamp:2024-05-21 12:22:24.354034, Process processmonitor.sh Not Running
Timestamp:2024-05-21 12:22:24.354175, Process processmonitor.sh started by Process Monitor Module
